Herb Name,Botanical Name,Common Uses,Active Compounds,Preparation Form,Health Conditions Treated,Dosage,Side Effects,Interactions,Region Origin
Clove Variant-5893,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",2–9g/day,Liver stress (overdose),Enhances anticoagulants,India
Garlic Variant-5894,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",5–9g/day,Stomach upset,Enhances anticoagulants,Middle East
Moringa Variant-5895,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",4–9g/day,None known,None known,Middle East
Hibiscus Variant-5896,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,1–9g/day,Liver stress (overdose),Avoid with laxatives,Africa
Moringa Variant-5897,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",4–10g/day,Liver stress (overdose),May interact with blood thinners,Asia
Clove Variant-5898,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",3–8g/day,Stomach upset,None known,India
Scent Leaf Variant-5899,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",3–9g/day,Liver stress (overdose),May interact with blood thinners,Middle East
Clove Variant-5900,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",5–7g/day,None known,Avoid with diabetes drugs,Middle East
Hibiscus Variant-5901,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,4–7g/day,Liver stress (overdose),None known,Middle East
Bitter Leaf Variant-5902,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",1–8g/day,Liver stress (overdose),Enhances anticoagulants,Middle East
Ginger Variant-5903,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",5–7g/day,Mild heartburn,May interact with blood thinners,Asia
Garlic Variant-5904,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",3–7g/day,Mild heartburn,May interact with blood thinners,India
Garlic Variant-5905,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",3–10g/day,Mild heartburn,May interact with blood thinners,Europe
Garlic Variant-5906,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",1–7g/day,Mild heartburn,Enhances anticoagulants,India
Moringa Variant-5907,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",1–7g/day,Stomach upset,None known,South America
Ginger Variant-5908,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",3–6g/day,Dizziness,Avoid with laxatives,Africa
Aloe Vera Variant-5909,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",4–6g/day,Stomach upset,Avoid with laxatives,Europe
Neem Variant-5910,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",4–9g/day,Liver stress (overdose),Avoid with laxatives,Africa
Neem Variant-5911,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",1–8g/day,Mild heartburn,Enhances anticoagulants,India
Bitter Leaf Variant-5912,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",4–7g/day,Liver stress (overdose),Avoid with laxatives,Africa
Neem Variant-5913,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",1–6g/day,None known,May interact with blood thinners,India
Ginger Variant-5914,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",3–8g/day,None known,Avoid with laxatives,Europe
Turmeric Variant-5915,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",3–6g/day,Stomach upset,May interact with blood thinners,South America
Moringa Variant-5916,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",1–9g/day,Liver stress (overdose),Enhances anticoagulants,India
Garlic Variant-5917,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",5–10g/day,Dizziness,Avoid with laxatives,India
Moringa Variant-5918,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",4–6g/day,None known,Enhances anticoagulants,Asia
Garlic Variant-5919,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",4–7g/day,None known,May interact with blood thinners,Europe
Neem Variant-5920,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",5–8g/day,Mild heartburn,Avoid with laxatives,South America
Neem Variant-5921,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",5–10g/day,Dizziness,Avoid with diabetes drugs,Africa
Neem Variant-5922,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",3–10g/day,Dizziness,Avoid with laxatives,South America
Moringa Variant-5923,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",1–7g/day,Liver stress (overdose),Avoid with laxatives,Middle East
Clove Variant-5924,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",5–6g/day,None known,None known,Asia
Clove Variant-5925,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",5–10g/day,Dizziness,May interact with blood thinners,Asia
Clove Variant-5926,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",2–9g/day,None known,Avoid with diabetes drugs,Asia
Turmeric Variant-5927,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",3–7g/day,Dizziness,None known,Europe
Neem Variant-5928,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",1–7g/day,Dizziness,None known,Africa
Scent Leaf Variant-5929,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",5–6g/day,None known,Avoid with diabetes drugs,India
Scent Leaf Variant-5930,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",4–10g/day,Stomach upset,Enhances anticoagulants,South America
Hibiscus Variant-5931,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,1–6g/day,Liver stress (overdose),Enhances anticoagulants,Middle East
Clove Variant-5932,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",5–7g/day,Dizziness,May interact with blood thinners,Africa
Turmeric Variant-5933,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",3–7g/day,Liver stress (overdose),Avoid with laxatives,Asia
Turmeric Variant-5934,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",5–10g/day,None known,May interact with blood thinners,Asia
Clove Variant-5935,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",1–7g/day,Mild heartburn,Enhances anticoagulants,Africa
Clove Variant-5936,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",3–6g/day,Liver stress (overdose),Enhances anticoagulants,Middle East
Moringa Variant-5937,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",3–6g/day,Liver stress (overdose),May interact with blood thinners,India
Garlic Variant-5938,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",1–9g/day,Dizziness,None known,Asia
Scent Leaf Variant-5939,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",2–6g/day,None known,May interact with blood thinners,Middle East
Aloe Vera Variant-5940,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",5–6g/day,Stomach upset,None known,Europe
Garlic Variant-5941,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",3–8g/day,Dizziness,Avoid with laxatives,South America
Aloe Vera Variant-5942,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",5–10g/day,None known,Enhances anticoagulants,India
Hibiscus Variant-5943,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,2–10g/day,Liver stress (overdose),Avoid with laxatives,Europe
Moringa Variant-5944,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",1–9g/day,None known,None known,South America
Garlic Variant-5945,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",2–9g/day,None known,May interact with blood thinners,Europe
Turmeric Variant-5946,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",5–10g/day,Stomach upset,Enhances anticoagulants,South America
Moringa Variant-5947,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",5–7g/day,Liver stress (overdose),None known,Middle East
Scent Leaf Variant-5948,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",4–10g/day,Mild heartburn,None known,Asia
Aloe Vera Variant-5949,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",5–9g/day,Stomach upset,None known,South America
Neem Variant-5950,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",5–6g/day,Liver stress (overdose),May interact with blood thinners,Middle East
Aloe Vera Variant-5951,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",4–8g/day,Liver stress (overdose),None known,Africa
Clove Variant-5952,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",4–9g/day,Liver stress (overdose),Avoid with laxatives,Europe
Turmeric Variant-5953,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",2–7g/day,Stomach upset,Avoid with diabetes drugs,Africa
Turmeric Variant-5954,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",4–6g/day,Dizziness,Avoid with diabetes drugs,South America
Bitter Leaf Variant-5955,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",2–9g/day,Liver stress (overdose),Avoid with laxatives,Middle East
Moringa Variant-5956,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",1–6g/day,Mild heartburn,Enhances anticoagulants,Europe
Moringa Variant-5957,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",3–8g/day,None known,Avoid with diabetes drugs,Middle East
Aloe Vera Variant-5958,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",4–10g/day,None known,May interact with blood thinners,Middle East
Garlic Variant-5959,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",5–9g/day,Liver stress (overdose),Avoid with diabetes drugs,South America
Clove Variant-5960,Syzygium aromaticum,"Pain relief, antiseptic",Eugenol,"Powder, oil","Toothache, infections",5–6g/day,Dizziness,May interact with blood thinners,Asia
Scent Leaf Variant-5961,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",3–6g/day,Dizziness,May interact with blood thinners,South America
Neem Variant-5962,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",2–6g/day,Dizziness,Enhances anticoagulants,Middle East
Garlic Variant-5963,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",1–6g/day,Liver stress (overdose),Avoid with laxatives,Europe
Moringa Variant-5964,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",2–7g/day,Dizziness,Enhances anticoagulants,Asia
Garlic Variant-5965,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",1–6g/day,Mild heartburn,Enhances anticoagulants,Asia
Scent Leaf Variant-5966,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",5–9g/day,Dizziness,Avoid with laxatives,Africa
Garlic Variant-5967,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",4–7g/day,None known,Avoid with diabetes drugs,South America
Aloe Vera Variant-5968,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",2–8g/day,Liver stress (overdose),None known,India
Hibiscus Variant-5969,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,5–9g/day,None known,May interact with blood thinners,Africa
Turmeric Variant-5970,Curcuma longa,"Anti-inflammatory, antioxidant",Curcumin,"Powder, capsule","Arthritis, liver issues",5–7g/day,None known,Avoid with laxatives,South America
Hibiscus Variant-5971,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,4–7g/day,Liver stress (overdose),Enhances anticoagulants,Asia
Aloe Vera Variant-5972,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",2–10g/day,Dizziness,Avoid with diabetes drugs,India
Neem Variant-5973,Azadirachta indica,"Antibacterial, skin purifier","Azadirachtin, Nimbin","Leaf extract, oil","Skin infections, malaria",2–8g/day,Stomach upset,Avoid with laxatives,Europe
Scent Leaf Variant-5974,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",5–6g/day,Mild heartburn,Avoid with diabetes drugs,South America
Bitter Leaf Variant-5975,Vernonia amygdalina,"Detoxifier, appetite stimulant","Vernodalin, Lactones","Leaf juice, decoction","Malaria, diabetes",1–8g/day,Dizziness,None known,India
Garlic Variant-5976,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",3–8g/day,Stomach upset,Avoid with laxatives,Asia
Hibiscus Variant-5977,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,2–8g/day,Liver stress (overdose),Enhances anticoagulants,Middle East
Aloe Vera Variant-5978,Aloe barbadensis,"Wound healing, digestion","Aloin, Acemannan","Gel, juice","Burns, ulcers, constipation",1–7g/day,None known,Avoid with diabetes drugs,South America
Scent Leaf Variant-5979,Ocimum gratissimum,"Antimicrobial, respiratory aid","Eugenol, Thymol","Leaf infusion, oil","Cough, infections",2–7g/day,None known,Avoid with laxatives,Middle East
Ginger Variant-5980,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",5–8g/day,Dizziness,May interact with blood thinners,Asia
Ginger Variant-5981,Zingiber officinale,"Anti-inflammatory, digestion aid","Gingerol, Shogaol","Tea, powder, capsule","Nausea, arthritis, cold",2–8g/day,None known,Avoid with diabetes drugs,South America
Garlic Variant-5982,Allium sativum,"Antibacterial, heart health",Allicin,"Raw, capsule","Hypertension, infection",3–9g/day,Stomach upset,Avoid with diabetes drugs,India
Moringa Variant-5983,Moringa oleifera,"Immune booster, energy tonic","Quercetin, Chlorogenic acid","Leaf powder, tea","Fatigue, diabetes",4–6g/day,Dizziness,Avoid with diabetes drugs,Europe
Hibiscus Variant-5984,Hibiscus sabdariffa,Blood pressure control,"Anthocyanins, Hibiscic acid",Tea,Hypertension,3–8g/day,Mild heartburn,Enhances anticoagulants,Middle East
